evenement_id,titre,type_evenement,theme,region_touristique,municipalite,date_debut,date_fin,site_web_disponible,texte,duree_jours
EVENMTOV501H75,Tournoi Hockey Adulte Sherbrooke propulsé par Momo Sports,Concours / tournoi,Sports et plein air,Cantons-de-l'Est,Sherbrooke,2024-04-26,2024-04-28,TRUE,Tournoi Hockey Adulte Sherbrooke propulsé par Momo Sports | Sports et plein air |,3
EVENMTOV500QJO,Slackline Val-des-Sources,Manifestation sportive,,Cantons-de-l'Est,Val-Des-Sources,2024-07-27,2024-07-27,TRUE,"Slackline Val-des-Sources | | Atelier|Concert, spectacle|Concours / tournoi",1
EVENMTOV502AF0,Soirée des beaux-arts (Encan d'oeuvres d'art),Grande exposition,Peinture et dessin,Cantons-de-l'Est,Sherbrooke,2024-08-10,2024-08-10,TRUE,Soirée des beaux-arts (Encan d'oeuvres d'art) | Peinture et dessin |,1
EVENMTOV501H6G,Défi Félix Deslauriers-Hallée,Concours / tournoi,Sports et plein air,Cantons-de-l'Est,Magog,2024-08-24,2024-08-24,TRUE,Défi Félix Deslauriers-Hallée | Sports et plein air |,1
EVENMTOV503BAQ,Oktoberfest - de La Confrérie Artisans Brasseurs,Fête populaire,,Cantons-de-l'Est,Windsor,2024-09-20,2024-09-21,TRUE,"Oktoberfest - de La Confrérie Artisans Brasseurs | | Concert, spectacle|Dégustation",2
EVENMTOV500T4Y,Sutton en blues,"Concert, spectacle",Chanson,Cantons-de-l'Est,Sutton,2024-10-19,2024-11-09,TRUE,"Sutton en blues | Chanson | Concert, spectacle",22
EVENMTOV503ESW,Défi des neiges,Manifestation sportive,Sports et plein air,Centre-du-Québec,Victoriaville,2025-01-01,2026-12-31,TRUE,Défi des neiges | Sports et plein air |,730
EVENMTOV503IFF,Allô le monde,Festival,Chanson|Danse,Centre-du-Québec,Drummondville,2025-05-31,2025-05-31,TRUE,"Allô le monde | Chanson|Danse | Animation pour enfants|Concert, spectacle|Danse",1
EVENMTOV503IUN,Les voltigeurs,Concours / tournoi,,Centre-du-Québec,Drummondville,2025-09-01,2026-04-30,TRUE,Les voltigeurs | |,242
EVENMTOV500T4O,Gleason en couleurs,Festival,Couleurs d'automne,Centre-du-Québec,Tingwick,2025-10-04,2025-10-05,TRUE,"Gleason en couleurs | Couleurs d'automne | Animation pour enfants|Atelier|Concert, spectacle|Dégustation|Exposition",2
EVENMTOV503MVX,VersO: Rendez-vous de l'économie circulaire,Grande exposition,Nature et environnement,Centre-du-Québec,Victoriaville,2025-10-25,2025-10-26,FALSE,VersO: Rendez-vous de l'économie circulaire | Nature et environnement | Conférence|Exposition,2
EVENMTOV503IKW,Les oiseaux migrateurs,Grande exposition,Nature et environnement,Centre-du-Québec,Drummondville,2025-10-31,2025-11-30,TRUE,Les oiseaux migrateurs | Nature et environnement |,31
EVENMTOV500O8P,Carnaval de Gentilly,Festival,,Centre-du-Québec,Bécancour,2025-11-15,2026-02-14,TRUE,"Carnaval de Gentilly | | Animation pour enfants|Concert, spectacle|Conférence|Dégustation",92
EVENMTOV503DT2,Central Pop Marché des Fêtes,Marché de Noël,Arts décoratifs / visuels|Métiers d'art|Noël,Centre-du-Québec,Drummondville,2025-11-15,2025-11-16,TRUE,Central Pop Marché des Fêtes | Arts décoratifs / visuels|Métiers d'art|Noël | Dégustation|Exposition,2
EVENMTOV500T78,Marché de Noël de Baie-Saint-Paul,Marché de Noël,Noël,Charlevoix,Baie-Saint-Paul,2025-12-05,2025-12-07,TRUE,"Marché de Noël de Baie-Saint-Paul | Noël | Animation pour enfants|Concert, spectacle|Dégustation|Démonstration|Exposition|Films, projection",3
EVENMTOV500S3D,La Virée Nordique de Charlevoix,Manifestation sportive,,Charlevoix,La Malbaie,2026-02-13,2026-02-15,TRUE,La Virée Nordique de Charlevoix | |,3
EVENMTOV500T4N,Les Grands Rendez-Vous Cyclistes de Charlevoix,Manifestation sportive,,Charlevoix,Baie-Saint-Paul,2026-06-05,2026-06-07,TRUE,Les Grands Rendez-Vous Cyclistes de Charlevoix | | Animation pour enfants|Concours / tournoi,3
EVENMTOV500T4L,Rodéo de Charlevoix,Festival,,Charlevoix,Saint-Aimé-Des-Lacs,2026-06-18,2026-06-21,TRUE,"Rodéo de Charlevoix | | Concert, spectacle|Concours / tournoi|Exposition",4
EVENMTOV500OMH,Festival international du Domaine Forget,Festival,,Charlevoix,Saint-Irénée,2026-06-27,2026-08-22,TRUE,"Festival international du Domaine Forget | | Concert, spectacle|Danse|Exposition|Visite autonome|Visite guidée|Yoga",57
EVENMTOV500SC2,Triathlon de Charlevoix,Manifestation sportive,,Charlevoix,Saint-Aimé-Des-Lacs,2026-07-04,2026-07-06,TRUE,Triathlon de Charlevoix | | Atelier|Concours / tournoi|Démonstration,3
EVENMTOV500NW6,Au coeur des arts de Saint-Siméon,Festival,Métiers d'art,Charlevoix,Saint-Siméon,2026-07-17,2026-07-19,TRUE,Au coeur des arts de Saint-Siméon | Métiers d'art | Activités foraines|Atelier|Démonstration|Exposition,3
EVENMTOV500SSN,Le Festif de Baie-Saint-Paul,Festival,Chanson,Charlevoix,Baie-Saint-Paul,2026-07-23,2026-07-26,TRUE,"Le Festif de Baie-Saint-Paul | Chanson | Animation pour enfants|Concert, spectacle|Démonstration",4
EVENMTOV503PG9,Marché de Noël Sapins Goupil,Marché de Noël,Noël,Chaudière-Appalaches,Lévis,2025-11-22,2025-12-14,TRUE,"Marché de Noël Sapins Goupil | Noël | Animation pour enfants|Atelier|Autocueillette|Danse|Défilé / parade|Dégustation|Exposition|Feux d'artifice|Films, projection|Glissade sur neige|Illumination|Luge d'hiver|Rallye|Visite autonome",23
EVENMTOV500SC4,Le Noël Magique de Saint-Flavien,Festival,Noël,Chaudière-Appalaches,Saint-Flavien,2025-12-12,2025-12-14,TRUE,"Le Noël Magique de Saint-Flavien | Noël | Animation pour enfants|Concert, spectacle|Défilé / parade|Démonstration|Feux d'artifice",3
EVENMTOV500OOW,Fête d'hiver de Saint-Jean-Port-Joli,Festival,,Chaudière-Appalaches,Saint-Jean-Port-Joli,2026-02-20,2026-02-22,TRUE,"Fête d'hiver de Saint-Jean-Port-Joli | | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Danse|Démonstration|Feux d'artifice|Films, projection|Glissade sur neige|Illumination|Luge d'hiver|Visite autonome",3
EVENMTOV500ONJ,Fête costumée la Mi-Carême,Festival,,Chaudière-Appalaches,Saint-Antoine-De-L'isle-Aux-Grues,2026-03-09,2026-03-15,TRUE,"Fête costumée la Mi-Carême | | Concert, spectacle|Danse|Défilé / parade|Démonstration|Géocaching|Visite autonome",7
EVENMTOV500ONU,JeCoursQc,Manifestation sportive,Sports et plein air,Chaudière-Appalaches,Lévis,2026-05-02,2026-05-03,TRUE,JeCoursQc | Sports et plein air | Animation pour enfants|Atelier|Concours / tournoi|Conférence|Démonstration|Exposition,2
EVENMTOV500OO1,Festival beauceron de l'érable,Festival,,Chaudière-Appalaches,Saint-Georges,2026-05-24,2026-05-25,TRUE,"Festival beauceron de l'érable | | Animation pour enfants|Atelier|Concert, spectacle|Dégustation|Démonstration|Exposition|Manèges",2
EVENMTOV500OMC,Tour de Beauce UCI,Manifestation sportive,,Chaudière-Appalaches,Saint-Georges,2026-06-10,2026-06-14,TRUE,"Tour de Beauce UCI | | Animation pour enfants|Concert, spectacle|Concours / tournoi|Démonstration|Exposition",5
EVENMTOV501O8M,Le Solstice Festival,Festival,,Chaudière-Appalaches,Saint-Georges,2026-06-12,2026-06-14,TRUE,"Le Solstice Festival | | Atelier|Concert, spectacle",3
EVENMTOV500QHT,Salon du livre de la Côte-Nord,Salon / foire,Littérature et poésie,Côte-Nord (Duplessis),Sept-Îles,2026-04-23,2026-04-26,TRUE,"Salon du livre de la Côte-Nord | Littérature et poésie | Animation pour enfants|Atelier|Concert, spectacle|Conférence|Exposition",4
EVENMTOV500SNY,Festival de la famille de Havre-Saint-Pierre,Festival,,Côte-Nord (Duplessis),Havre-Saint-Pierre,2026-07-15,2026-07-20,TRUE,"Festival de la famille de Havre-Saint-Pierre | | Animation pour enfants|Concert, spectacle|Concours / tournoi|Démonstration|Exposition|Feux d'artifice|Jeu d'évasion",6
EVENMTOV500T41,Vieux-Quai en fête,Festival,,Côte-Nord (Duplessis),Sept-Îles,2026-07-16,2026-07-19,TRUE,"Vieux-Quai en fête | | Animation pour enfants|Atelier|Concert, spectacle|Danse|Démonstration|Expérience en réalité virtuelle|Manèges|Rallye",4
EVENMTOV500ONY,Festival Innu Nikamu,Festival,Chanson,Côte-Nord (Duplessis),Maliotenam,2026-07-30,2026-08-02,TRUE,"Festival Innu Nikamu | Chanson | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Dégustation|Démonstration|Exposition|Feux d'artifice|Films, projection|Interprétation de la culture autochtone",4
EVENMTOV500QHR,Festi-GrÎles de la Côte-Nord,Festival,,Côte-Nord (Duplessis),Sept-Îles,2026-08-14,2026-08-16,TRUE,"Festi-GrÎles de la Côte-Nord | | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Dégustation|Démonstration|Exposition|Interprétation de la culture autochtone",3
EVENMTOV500OMM,Festival de la Chanson de Tadoussac,Festival,,Côte-Nord (Manicouagan),Tadoussac,2026-06-11,2026-06-14,TRUE,"Festival de la Chanson de Tadoussac | | Animation pour enfants|Concert, spectacle|Dégustation|Démonstration",4
EVENMTOV500OPC,Symposium de peinture de Baie-Comeau,Festival,Peinture et dessin,Côte-Nord (Manicouagan),Baie-Comeau,2026-06-17,2026-06-21,TRUE,Symposium de peinture de Baie-Comeau | Peinture et dessin | Atelier|Démonstration|Exposition,5
EVENMTOV500S9O,Festival Eau Grand Air,Festival,,Côte-Nord (Manicouagan),Baie-Comeau,2026-07-02,2026-07-04,TRUE,"Festival Eau Grand Air | | Concert, spectacle",3
EVENMTOV500T5K,Festival intime de musique classique,Festival,,Côte-Nord (Manicouagan),Les Bergeronnes,2026-07-15,2026-07-19,TRUE,"Festival intime de musique classique | | Atelier|Concert, spectacle|Conférence|Dégustation|Démonstration|Exposition",5
EVENMTOV500SNM,Festival Country des Nord-Côtiers,Festival,,Côte-Nord (Manicouagan),Chute-Aux-Outardes,2026-08-13,2026-08-15,TRUE,"Festival Country des Nord-Côtiers | | Concert, spectacle|Concours / tournoi|Démonstration|Exposition",3
EVENMTOV500SUF,Festival Marin des Escoumins,Festival,,Côte-Nord (Manicouagan),Les Escoumins,2026-08-29,2026-09-01,TRUE,"Festival Marin des Escoumins | | Activités foraines|Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Course de véhicules motorisés|Danse|Défilé / parade|Démonstration|Exposition|Feux d'artifice|Films, projection|Golf miniature|Jeu d'évasion",4
EVENMTOV500O4F,Festival des oiseaux migrateurs de la Côte-Nord,Festival,Nature et environnement,Côte-Nord (Manicouagan),Tadoussac,2026-09-21,2026-09-27,TRUE,"Festival des oiseaux migrateurs de la Côte-Nord | Nature et environnement | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Conférence|Croisière / excursion en bateau|Démonstration|Exposition|Films, projection|Interprétation / observation de la nature|Visite guidée",7
EVENMTOV500SC0,Cinoche - Festival du film international de Baie-Comeau,Festival,Cinéma,Côte-Nord (Manicouagan),Baie-Comeau,2027-01-21,2027-01-31,TRUE,"Cinoche - Festival du film international de Baie-Comeau | Cinéma | Animation pour enfants|Conférence|Films, projection",11
EVENMTOV500T3W,Noël en Gaspésie à New Richmond,Festival,Noël,Gaspésie,New Richmond,2025-11-22,2026-01-01,TRUE,"Noël en Gaspésie à New Richmond | Noël | Animation pour enfants|Atelier|Brocante / braderie|Concert, spectacle|Contes et légendes|Défilé / parade|Exposition|Films, projection",41
EVENMTOV500S6I,Vues sur mer - Festival du cinéma documentaire de Gaspé,Festival,,Gaspésie,Gaspé,2026-04-09,2026-04-12,TRUE,"Vues sur mer - Festival du cinéma documentaire de Gaspé | | Concours / tournoi|Conférence|Films, projection",4
EVENMTOV500OMZ,Aqua-neige,Manifestation sportive,Sports et plein air,Gaspésie,Sainte-Irène,2026-04-10,2026-04-12,TRUE,"Aqua-neige | Sports et plein air | Animation pour enfants|Concert, spectacle|Concours / tournoi|Démonstration|Feux d'artifice|Glissade sur neige",3
EVENMTOV500QHK,Festival BleuBleu,Festival,Musique,Gaspésie,Carleton-Sur-Mer,2026-06-18,2026-06-21,TRUE,"Festival BleuBleu | Musique | Brocante / braderie|Concert, spectacle",4
EVENMTOV500RSR,Ultra Trail Gaspésia 100,Manifestation sportive,,Gaspésie,Percé,2026-06-19,2026-06-21,TRUE,Ultra Trail Gaspésia 100 | | Concours / tournoi,3
EVENMTOV500OMI,Festival international de jardins,Festival,,Gaspésie,Grand-Métis,2026-06-20,2026-10-04,TRUE,Festival international de jardins | | Conférence|Exposition,107
EVENMTOV503NP9,URA : La célébration de l'eau,Expérience multimédia / immersive,Arts numériques|Nature et environnement,Gaspésie,Chandler,2026-06-22,2026-09-15,TRUE,URA : La célébration de l'eau | Arts numériques|Nature et environnement | Illumination,86
EVENMTOV500OMK,Festival en chanson de Petite-Vallée,Festival,,Gaspésie,Petite-Vallée,2026-06-25,2026-07-04,TRUE,"Festival en chanson de Petite-Vallée | | Animation pour enfants|Atelier|Concert, spectacle|Exposition",10
EVENMTOV503DFG,Marché d'art de Noël,Marché de Noël,,Lanaudière,Mascouche,2025-11-29,2025-11-30,FALSE,Marché d'art de Noël | |,2
EVENMTOV500QH1,Marché de Noël de Saint-Lin-Laurentides,Marché de Noël,Noël,Lanaudière,Saint-Lin-Laurentides,2025-12-05,2025-12-07,TRUE,Marché de Noël de Saint-Lin-Laurentides | Noël | Démonstration|Exposition,3
EVENMTOV502UVV,Féerie d'hiver,Festival,,Lanaudière,Lavaltrie,2026-01-30,2026-02-01,TRUE,"Féerie d'hiver | | Activités foraines|Animation pour enfants|Atelier|Balade en traîneau en cheval|Balade en voiture à cheval|Concert, spectacle|Concours / tournoi|Conférence|Danse|Feux d'artifice|Films, projection|Glissade sur neige|Jeux d'arcade|Luge d'hiver|Rallye|Visite guidée",3
EVENMTOV501K3N,Festival La Bordée,Festival,,Lanaudière,Terrebonne,2026-01-31,2026-02-21,TRUE,"Festival La Bordée | | Activités foraines|Animation pour enfants|Balade en voiture à cheval|Concert, spectacle|Contes et légendes|Démonstration",22
EVENMTOV501IW2,Saint-Zénon sur glace,Village éphémère,,Lanaudière,Saint-Zénon,2026-01-31,2026-03-08,TRUE,"Saint-Zénon sur glace | | Animation pour enfants|Concert, spectacle|Concours / tournoi|Course de véhicules motorisés|Feux d'artifice",37
EVENMTOV501O89,District Habitat Terrebonne,Salon / foire,,Lanaudière,Terrebonne,2026-02-19,2026-02-22,TRUE,District Habitat Terrebonne | | Conférence|Exposition,4
EVENMTOV500S4G,Festival plein air St-Donat,Festival,,Lanaudière,Saint-Donat,2026-02-20,2026-02-22,FALSE,Festival plein air St-Donat | | Animation pour enfants|Dégustation|Exposition|Glissade sur neige,3
EVENMTOV503RTV,Électro-Glacial 2026,"Concert, spectacle",,Lanaudière,Notre-Dame-Des-Prairies,2026-02-20,2026-02-20,TRUE,Électro-Glacial 2026 | |,1
EVENMTOV500SNU,Sympos’Arts de Saint-Eustache,Festival,,Laurentides,Saint-Eustache,2025-05-24,2025-05-25,TRUE,Sympos’Arts de Saint-Eustache | | Animation pour enfants|Démonstration|Exposition,2
EVENMTOV500QMY,Festival Aéronautique Volaria,Festival,,Laurentides,Mirabel,2025-09-06,2025-09-07,TRUE,"Festival Aéronautique Volaria | | Animation pour enfants|Concert, spectacle|Démonstration|Exposition",2
EVENMTOV500Q8X,Sommet Saint-Sauveur en couleurs,Festival,Couleurs d'automne,Laurentides,Saint-Sauveur,2025-09-13,2025-10-26,TRUE,"Sommet Saint-Sauveur en couleurs | Couleurs d'automne | Activités foraines|Animation pour enfants|Concert, spectacle|Golf miniature|Luge d'été|Manèges|Visite autonome|Yoga",44
EVENMTOV500QCA,Marché de Noël d'Oka,Marché de Noël,Noël,Laurentides,Oka,2025-11-22,2025-11-23,FALSE,Marché de Noël d'Oka | Noël | Exposition,2
EVENMTOV500T7A,Village de Noël de Sainte-Thérèse,Marché de Noël,Noël,Laurentides,Sainte-Thérèse,2025-11-27,2025-12-14,TRUE,Village de Noël de Sainte-Thérèse | Noël | Animation pour enfants|Dégustation|Visite autonome,18
EVENMTOV502BER,Coupe du Monde Tremblant PwC,Manifestation sportive,Sports et plein air,Laurentides,Mont-Tremblant,2025-12-06,2025-12-07,TRUE,"Coupe du Monde Tremblant PwC | Sports et plein air | Animation pour enfants|Concert, spectacle|Concours / tournoi",2
EVENMTOV503AVR,Salon du Cadeau Sainte-Anne-des-Plaines,Salon / foire,Métiers d'art|Noël,Laurentides,Sainte-Anne-Des-Plaines,2025-12-06,2025-12-07,TRUE,Salon du Cadeau Sainte-Anne-des-Plaines | Métiers d'art|Noël | Exposition,2
EVENMTOV503RP2,Sentier des cimes / Lumagica,Grande exposition,,Laurentides,Mont-Blanc,2025-12-12,2026-03-07,TRUE,Sentier des cimes / Lumagica | |,86
EVENMTOV500SNQ,La Grande fête des pompiers de Laval,Festival,,Laval,Laval,2024-06-01,2024-06-02,TRUE,"La Grande fête des pompiers de Laval | | Animation pour enfants|Atelier|Concert, spectacle|Défilé / parade|Démonstration|Exposition|Films, projection",2
EVENMTOV501J8E,La Foire du Vieux Sainte-Rose,Salon / foire,,Laval,Laval,2024-08-08,2024-08-11,TRUE,La Foire du Vieux Sainte-Rose | | Atelier|Exposition,4
EVENMTOV5036ZK,Zones musicales,Festival,,Laval,Laval,2025-07-06,2025-08-24,TRUE,Zones musicales | |,50
EVENMTOV503ILA,Festi-Gourmet,Festival,,Laval,Laval,2025-08-07,2025-08-10,FALSE,Festi-Gourmet | | Animation pour enfants|Atelier|Danse|Dégustation|Démonstration,4
EVENMTOV503J8F,Brickomanie 2025 – La grande fête de la petite brique!,Grande exposition,,Laval,Laval,2025-08-16,2025-08-17,TRUE,Brickomanie 2025 – La grande fête de la petite brique! | | Conférence|Exposition|Illumination,2
EVENMTOV501M16,Match du Rocket de Laval,"Concert, spectacle",Sports et plein air,Laval,Laval,2025-10-17,2026-04-11,TRUE,Match du Rocket de Laval | Sports et plein air | Concours / tournoi,177
EVENMTOV500ON2,Salon national de la pourvoirie de Laval,Salon / foire,,Laval,Laval,2026-01-22,2026-01-25,TRUE,Salon national de la pourvoirie de Laval | | Atelier|Conférence|Démonstration|Expérience en réalité virtuelle,4
EVENMTOV500SUG,Laval en blanc,Festival,,Laval,Laval,2026-01-23,2026-01-25,TRUE,Laval en blanc | | Animation pour enfants|Glissade sur neige,3
EVENMTOV503DX0,Chapiteau Francophone,Festival,,Mauricie,Saint-Élie-De-Caxton,2025-01-01,2025-12-31,TRUE,Chapiteau Francophone | |,365
EVENMTOV503G8Z,Carnaval d'hiver du Lac-à-la-Tortue,Fête populaire,Feux d'artifice|Sculpture|Sports et plein air,Mauricie,Shawinigan,2025-02-22,2025-02-22,FALSE,Carnaval d'hiver du Lac-à-la-Tortue | Feux d'artifice|Sculpture|Sports et plein air | Animation pour enfants|Concours / tournoi|Feux d'artifice,1
EVENMTOV503COB,Fête de la pêche,Festival,Sports et plein air,Mauricie,Shawinigan,2025-06-06,2025-06-08,FALSE,Fête de la pêche | Sports et plein air |,3
EVENMTOV503COQ,Les grandes soirées,"Concert, spectacle",Chanson|Musique,Mauricie,Shawinigan,2025-06-27,2025-08-15,TRUE,"Les grandes soirées | Chanson|Musique | Concert, spectacle",50
EVENMTOV503GY1,Les Jeud'hilarants,"Concert, spectacle",Humour et variétés,Mauricie,Shawinigan,2025-07-03,2025-08-14,TRUE,Les Jeud'hilarants | Humour et variétés |,43
EVENMTOV5029N4,Les jeudis centre-ville,"Concert, spectacle",Musique,Mauricie,La Tuque,2025-07-03,2025-08-07,TRUE,Les jeudis centre-ville | Musique |,36
EVENMTOV503GXT,Festival de la rivière,Manifestation sportive,Sports et plein air,Mauricie,Shawinigan,2025-07-04,2025-07-06,TRUE,Festival de la rivière | Sports et plein air | Animation pour enfants|Concours / tournoi,3
EVENMTOV502CKM,Festival Jamboree Country Bluegrass Saint-Alexis-de-Monts,Festival,Musique,Mauricie,Saint-Alexis-Des-Monts,2025-07-08,2025-07-13,FALSE,"Festival Jamboree Country Bluegrass Saint-Alexis-de-Monts | Musique | Concert, spectacle",6
EVENMTOV502F08,Détours - Rencontres urbaines,Grande exposition,Arts numériques|Cinéma|Culture et patrimoine québécois,Montréal,Montréal,2024-02-27,2027-01-31,TRUE,Détours - Rencontres urbaines | Arts numériques|Cinéma|Culture et patrimoine québécois | Exposition|Visite autonome,1070
EVENMTOV502YL6,Rouge 2100 - une aventure martienne,Expérience multimédia / immersive,"Arts numériques|Industrie, sciences et technologies|Nature et environnement",Montréal,Montréal,2024-04-23,2026-09-07,TRUE,"Rouge 2100 - une aventure martienne | Arts numériques|Industrie, sciences et technologies|Nature et environnement | Exposition|Observation astronomique|Spectacle immersif",868
EVENMTOV502YL0,Exposition : MONTRÉAL,Grande exposition,Culture et patrimoine québécois|Histoire,Montréal,Montréal,2024-07-17,2030-12-31,TRUE,Exposition : MONTRÉAL | Culture et patrimoine québécois|Histoire | Exposition,2359
EVENMTOV503A5Z,Nature vive,Expérience multimédia / immersive,Arts numériques|Nature et environnement,Montréal,Montréal,2024-08-19,2026-08-30,TRUE,Nature vive | Arts numériques|Nature et environnement | Spectacle immersif,742
EVENMTOV503FSE,Parcours Arsenal art contemporain,Grande exposition,Arts décoratifs / visuels|Cinéma,Montréal,Montréal,2025-06-02,2026-09-14,TRUE,Parcours Arsenal art contemporain | Arts décoratifs / visuels|Cinéma | Exposition,470
EVENMTOV503L4S,De ruelle en ruelle. Une aventure interactive,Expérience multimédia / immersive,Arts numériques|Culture et patrimoine québécois|Histoire,Montréal,Montréal,2025-06-20,2027-01-10,TRUE,"De ruelle en ruelle. Une aventure interactive | Arts numériques|Culture et patrimoine québécois|Histoire | Animation pour enfants|Exposition|Films, projection",570
